champion,position,경기수,승률,픽률
KogMaw,BOTTOM,16,0.625,0.0095
Zeri,BOTTOM,49,0.6122,0.029
Zed,BOTTOM,5,0.6,0.003
Viktor,BOTTOM,40,0.575,0.0236
Cassiopeia,BOTTOM,37,0.5676,0.0219
Caitlyn,BOTTOM,70,0.5571,0.0414
Kalista,BOTTOM,112,0.5536,0.0662
Ziggs,BOTTOM,38,0.5526,0.0225
Varus,BOTTOM,20,0.55,0.0118
Velkoz,BOTTOM,11,0.5455,0.0065
Draven,BOTTOM,13,0.5385,0.0077
Yunara,BOTTOM,196,0.5306,0.1158
Vladimir,BOTTOM,17,0.5294,0.01
Yasuo,BOTTOM,19,0.5263,0.0112
Xerath,BOTTOM,42,0.5238,0.0248
Corki,BOTTOM,50,0.52,0.0296
Kaisa,BOTTOM,149,0.5168,0.0881
Katarina,BOTTOM,6,0.5,0.0035
Mel,BOTTOM,10,0.5,0.0059
Seraphine,BOTTOM,8,0.5,0.0047
Jhin,BOTTOM,196,0.4847,0.1158
Syndra,BOTTOM,31,0.4839,0.0183
Ezreal,BOTTOM,187,0.4759,0.1105
Sivir,BOTTOM,26,0.4615,0.0154
MissFortune,BOTTOM,22,0.4545,0.013
Ashe,BOTTOM,25,0.44,0.0148
Tristana,BOTTOM,51,0.4314,0.0301
Lucian,BOTTOM,82,0.4268,0.0485
Xayah,BOTTOM,40,0.425,0.0236
Aphelios,BOTTOM,20,0.4,0.0118
Hwei,BOTTOM,11,0.3636,0.0065
Taliyah,BOTTOM,17,0.2941,0.01
Jinx,BOTTOM,25,0.24,0.0148
FiddleSticks,JUNGLE,13,0.6923,0.0077
Talon,JUNGLE,49,0.6735,0.029
Fizz,JUNGLE,12,0.6667,0.0071
Rengar,JUNGLE,32,0.6562,0.0189
Hecarim,JUNGLE,55,0.6182,0.0325
Zyra,JUNGLE,31,0.6129,0.0183
Jax,JUNGLE,5,0.6,0.003
Elise,JUNGLE,7,0.5714,0.0041
Maokai,JUNGLE,21,0.5714,0.0124
Taliyah,JUNGLE,28,0.5714,0.0165
Qiyana,JUNGLE,186,0.5591,0.1099
Nocturne,JUNGLE,34,0.5588,0.0201
Kindred,JUNGLE,22,0.5455,0.013
Olaf,JUNGLE,11,0.5455,0.0065
Sylas,JUNGLE,43,0.5349,0.0254
Jayce,JUNGLE,34,0.5294,0.0201
Shyvana,JUNGLE,25,0.52,0.0148
LeeSin,JUNGLE,235,0.5106,0.1389
Vi,JUNGLE,77,0.5065,0.0455
