champion,position,name,tag,판수,승률
Akali,MIDDLE,Ivory,1012,3,0.6667
Alistar,UTILITY,Croco,0223,3,0.6667
Ambessa,TOP,shangxianshen,Ambes,3,0.6667
Azir,MIDDLE,지 훈,KJH,4,0.75
Bard,UTILITY,Ciro,KR10,3,0.6667
Bard,UTILITY,T1 구름,2007,3,0.6667
Camille,TOP,Pungyeon,0116,4,0.75
Camille,TOP,月下沙利叶,b9ii,3,0.6667
Camille,TOP,kiin,KR1,5,0.6
Camille,UTILITY,Cecilia,1325,5,0.8
Camille,UTILITY,JUGKlNG,kr,4,0.75
Camille,UTILITY,T1 에테르,1225,3,0.6667
Camille,UTILITY,YoRu,KR7,3,0.6667
Cassiopeia,MIDDLE,Daemi,Arneb,4,0.75
Cassiopeia,MIDDLE,Wonderwall,mid,3,0.6667
Chogath,JUNGLE,kiin,KR1,3,1.0
Chogath,JUNGLE,DK Lucid,KR1,3,0.6667
Ezreal,BOTTOM,Comfy,KR2,3,0.6667
Ezreal,BOTTOM,중승민,중센조,3,0.6667
Fiora,TOP,슈프림,1000,6,0.6667
Fizz,JUNGLE,끝까지 포기하지말자,never,4,0.75
Fizz,MIDDLE,끝까지 포기하지말자,never,5,0.6
Galio,MIDDLE,pzz 1,0626,3,0.6667
Graves,JUNGLE,사자심회,용족2,3,0.6667
Hecarim,JUNGLE,抖音小y,zzzz,4,0.75
Hecarim,JUNGLE,이 차가 식기전에,KR1,3,0.6667
Irelia,MIDDLE,Aileri,KR1,3,1.0
Irelia,TOP,Aileri,KR1,5,1.0
Jayce,TOP,TOPKING,asd,7,0.7143
Jhin,BOTTOM,T1 Solbon,KR6,3,1.0
Jhin,BOTTOM,HLE Gumayusi,0298,3,0.6667
Jhin,BOTTOM,T1 구름,2007,3,0.6667
Jhin,BOTTOM,모든일은같이,KR1,3,0.6667
Kalista,BOTTOM,정 진,이용승,5,0.6
Karma,UTILITY,DNS Quantum,KR 1,4,0.75
Karma,UTILITY,카 엘,0211,3,0.6667
KogMaw,BOTTOM,코그모,ΚR1,3,0.6667
LeeSin,JUNGLE,Cuzz,KR1,3,1.0
Lissandra,TOP,抖音王纪超,26号首秀,6,0.8333
Lissandra,UTILITY,抖音王纪超,26号首秀,3,0.6667
Locke,MIDDLE,WBG招641950117,WBG,3,1.0
Locke,MIDDLE,모든일은같이,KR1,4,0.75
Lucian,BOTTOM,암영천왕,KoR,3,0.6667
Lulu,UTILITY,Miyi,oymy,5,0.8
Lulu,UTILITY,DNS Quantum,KR 1,3,0.6667
Nautilus,UTILITY,DNS Quantum,KR 1,3,1.0
Nidalee,JUNGLE,dyxiaofang,Miss,8,0.75
Nilah,BOTTOM,Peyz,KR11,3,0.6667
Olaf,TOP,songman,KR11,3,1.0
Orianna,MIDDLE,도천지,KR1,5,0.8
Qiyana,JUNGLE,DK Lucid,KR1,3,0.6667
Qiyana,JUNGLE,잊어주세요,0202,3,0.6667
RekSai,JUNGLE,최섭섭,왜그랬섭,3,0.6667
Rengar,JUNGLE,抖音阿甘爱跑步,xtz小弟,9,0.7778
Rumble,TOP,차가운코끼리,KR0,3,0.6667
Ryze,MIDDLE,Wonderwall,mid,3,0.6667
Sylas,JUNGLE,Ivory,1012,3,0.6667
Syndra,MIDDLE,DNS Flip,2008,4,1.0
Syndra,MIDDLE,BebePink,KR 1,6,0.8333
Syndra,MIDDLE,SeTab,123,5,0.8
Taliyah,MIDDLE,Odysseus,KR131,14,0.6429
Talon,JUNGLE,抖音阿甘爱跑步,xtz小弟,4,0.75
Talon,MIDDLE,Lztovo,Mio韩服,3,0.6667
Xayah,BOTTOM,정 진,이용승,3,1.0
Xerath,BOTTOM,트래킹,99999,8,0.625
Yasuo,MIDDLE,Naruto,Helix,3,1.0
Yone,MIDDLE,Ivory,1012,3,0.6667
Yunara,BOTTOM,꼬마딩구리,KR1,3,1.0
Yunara,BOTTOM,Departures,Kami,6,0.6667
Yunara,BOTTOM,Xiang,God,3,0.6667
Yunara,BOTTOM,노익스강,noex,3,0.6667
Yunara,BOTTOM,정 진,이용승,5,0.6
Zed,TOP,적당한게 좋아,KR1,4,0.75
Zoe,MIDDLE,Witt,123,8,0.75
Zoe,MIDDLE,쪼렙이다말로하자,KR1,15,0.6667
