rank,tier,name,tag,lp,wins,losses,puuid
1,CHALLENGER,DNS 또이브,KR13,2799,830,709,9R2dZ9amdnfJPNFdeGYG6PBkvdp8I6GU-ZOYp4ybOmg_dNqi-TLdZua_9W44xFZ2D3YvfdlpUDx5tQ
2,CHALLENGER,抖音阿甘爱跑步,xtz小弟,2798,439,352,otErwMRlIMCwvbUzyC-8nbhzi5SExqVp3Ez7xRDlZJK0qX_B7FoQw_GfUl868Jo2poNwl8yswvQccg
3,CHALLENGER,Aileri,KR1,2729,316,252,IbJPuBxQiouKm-TfSmdFAI_jrnoY5bR_l1-IcG1PXK7iVsOKHH9GKkHIi2k5jAWzVEoGjQaep3Ym_A
4,CHALLENGER,WBG招641950117,WBG,2683,629,577,oY3Om4tKE1T58Pp0zDT3NvprEROBX0XEnnS-osoVZsG4cuxTRJEY84WTk9O-EOQGOmBU_3AgB-guIA
5,CHALLENGER,Daemi,Arneb,2610,339,279,Ou5mz-XKgUwgd3THVGkzidGEY1wB7Ik9bPPTnI49r52UotbDmlgKHIZH5FEO98QrdZ5E4IvXivyceQ
6,CHALLENGER,정 진,이용승,2608,286,222,bteKMTMyNKwNJIMoA0CwhwQgYJ8bvLAGvEmfUaU9Rzt9CPdHP3VT8nDBwvAnkVFq-D48hRgNW7dIFw
7,CHALLENGER,노익스강,noex,2592,331,278,5nyctGSMReNV5lcqq1_VpfHh6CQqkMBcRhzd5I-i1VqP2MCHerOCh3tf9Td7oFBfJWLaIdPxqHorBw
8,CHALLENGER,抖音王纪超,26号首秀,2584,586,507,ActQCPBIZ419mL69P3pY_7f81r7B7pqYEtwTTIqacc2VpM2fu10ssMbK_oZ_1QaMS7Q4wE2h896rkg
9,CHALLENGER,DK Lucid,KR1,2582,404,328,NyI3v-Qs3DiSOeOB_vKplQSWZlmZJ3sfv2h2RrL9DAgbBIMZHHNUvqsMjWbZ13Tiayc1bgpPrjIIPA
10,CHALLENGER,Grizzly,KR3,2561,530,445,uZrj0w0zg9Wqd6hRLRwtggCnCO9JrQ0DDzwUNFQ_t0LeLyDaiXrDRnnsgrxr_ZKi1nQggZFbMiJ38Q
11,CHALLENGER,Hebi,KRX,2559,256,167,OXiTw7B3S2BtoRb-ceINe1K2ZtdmS56Bt1J1om14PIzMtCOBjRVdGf_I7wxh9DBfXijqk3YJhB0LjQ
12,CHALLENGER,삘삘이,피루07,2556,390,284,Zx1oHBl7PbudIbxnQUuzafEi1lTqu1r8ICfz4PP9s-ZgFlE19vZCSg3j8I21vnUIOm4u0krlBv4_-Q
13,CHALLENGER,SeTab,123,2537,308,264,n6SkmzQA4D9dmtERxyve5U33HluS-yOFUctDNSia31TtyYmju9L7U6Iw4aUwyh65V4PrXTYSHO7t1g
14,CHALLENGER,Ivory,1012,2535,581,510,acy0PU9pPNZDWtQlfPm_8M7HIcVvei2RoTaHAPiTjbVQIsaGCcYFmt1z1VgVt5ppqdWthPxl6jEGwA
15,CHALLENGER,JUGKlNG,kr,2529,317,238,0FuOMyjQ7hJervWpMRbFkP22y5BAi99FCFDzp-T_R3oWGFSVLmu5tB4fbAL3yQuP4hQB2jdV-tlaQA
16,CHALLENGER,DNS Flip,2008,2527,526,455,TRv-DYDVJymhlQSIVdBx8FDb0IjZARmByJ2a6g0L-wnpiDy9hn4QtwGmxWpreO2brvDJhaKHpbzwwg
