match_id,start_at,league,block,bo,team1,team1_code,team1_img,team2,team2_code,team2_img,priority
117030752644841619,2026-09-05T08:00:00Z,LCK,플레이오프,5,Gen.G Esports,GEN,http://static.lolesports.com/teams/1773829250929_GENGLOGO_GOLD.png,Hanwha Life Esports,HLE,http://static.lolesports.com/teams/1631819564399_hle-2021-worlds.png,0
117155436343202148,2026-09-04T09:00:00Z,LPL,플레이오프,5,LGD GAMING,LGD,http://static.lolesports.com/teams/LGD-FullonDark-1.png,Anyone's Legend,AL,http://static.lolesports.com/teams/1641199582689_.png,3
117155436343202160,2026-09-05T06:00:00Z,LPL,플레이오프,5,Invictus Gaming,IG,http://static.lolesports.com/teams/1634762917340_300px-Invictus_Gaming_logo.png,TOP ESPORTS,TES,http://static.lolesports.com/teams/1592592064571_TopEsportsTES-01-FullonDark.png,3
117155436343202166,2026-09-05T09:00:00Z,LPL,플레이오프,5,Shenzhen NINJAS IN PYJAMAS,NIP,http://static.lolesports.com/teams/1673425724696_NIP-Symbol-RGB-NeonYellow1.png,Beijing JDG Esports,JDG,http://static.lolesports.com/teams/1627457924722_29.png,3
115548681803406297,2026-09-05T10:00:00Z,LEC,플레이오프,5,Team Vitality,VIT,http://static.lolesports.com/teams/1675865863968_Vitality_FullColor.png,G2 Esports,G2,http://static.lolesports.com/teams/G2-FullonDark.png,4
115548681803406291,2026-09-05T15:00:00Z,LEC,플레이오프,5,Karmine Corp,KC,http://static.lolesports.com/teams/1704714951336_KC.png,GIANTX,GX,http://static.lolesports.com/teams/1765897105091_GIANTX-logotype-white.png,4
115564797163821175,2026-09-05T20:00:00Z,LCS,7주 차,3,Sentinels,SEN,http://static.lolesports.com/teams/1767769784669_Sentinels_2020_Icon.png,Cloud9 Kia,C9,http://static.lolesports.com/teams/1736924120254_C9Kia_IconBlue_Transparent_2000x2000.png,5
115564797163886779,2026-09-05T23:00:00Z,LCS,7주 차,3,Dignitas,DIG,http://static.lolesports.com/teams/DIG-FullonDark.png,Team Liquid Alienware,TLAW,http://static.lolesports.com/teams/1769357207762_TLAlienware_Minimal_Bug-White.png,5
115564797164345555,2026-09-06T20:00:00Z,LCS,7주 차,3,FlyQuest,FLY,http://static.lolesports.com/teams/flyquest-new-on-dark.png,Shopify Rebellion,SR,http://static.lolesports.com/teams/1701424227458_Teams204_Shopify_1632869404072.png,5
115564797163886787,2026-09-06T23:00:00Z,LCS,7주 차,3,Disguised,DSG,http://static.lolesports.com/teams/1731496922454_Disguised-Wordmark-Yellow-Main.png,LYON,LYON,http://static.lolesports.com/teams/1743717443673_isotypelyon-03.png,5
116917034792783753,2026-09-05T05:00:00Z,LJL,플레이오프,5,New Meta,NM,http://static.lolesports.com/teams/1771324815499_nm_full_color_onW.png,L Guide Gaming,LGG,http://static.lolesports.com/teams/1771324562336_lgg_full_color_onW.png,9
116951349275577694,2026-09-04T09:00:00Z,PCS,토너먼트 스테이지,5,Reignfall,RNF,http://static.lolesports.com/teams/1785307397756_PCS2026_TeamLogo_RNF1.png,SillySilly Gaming,SSG,http://static.lolesports.com/teams/1776611820872_PCS2026_TeamLogo_SSG.png,10
116996464901636966,2026-09-04T14:00:00Z,Hitpoint Masters,4주 차,3,Onion Team,ONT,http://static.lolesports.com/teams/1770636854068_image.png,EXILE Esports,EXE,http://static.lolesports.com/teams/1739089858844_exile_color.png,99
116895891142270589,2026-09-04T15:00:00Z,Rift Legends,2라운드,3,LODIS,LDS,http://static.lolesports.com/teams/1641900765750_lodis.png,DOCISK,DOC,http://static.lolesports.com/teams/1743505234603_LOGOTYP_DOCISK.png,99
116996464901571350,2026-09-04T16:30:00Z,Hitpoint Masters,4주 차,3,eSuba,ESB,http://static.lolesports.com/teams/1705300013762_HM_ESB_logo.png,Bohemian Guardians,BG,http://static.lolesports.com/teams/1776718185398_bohemian.png,99
116792888905448350,2026-09-04T21:00:00Z,NACL,플레이오프,5,Winthrop University,WU,http://static.lolesports.com/teams/1675157784150_WinthropUniversity.png,Cupid Esports,CPD,http://static.lolesports.com/teams/1783409729340_logocupid.jpg,99
116952262767753767,2026-09-05T04:00:00Z,FLS,결승,5,Team Gromp ,TGM,http://static.lolesports.com/teams/1787651985851_TeamGromp1.png,Onetricks,OTP,http://static.lolesports.com/teams/1787651953298_OneTricks1.png,99
115565671526403063,2026-09-05T16:00:00Z,CBLOL,플레이오프,5,Vivo Keyd Stars,VKS,http://static.lolesports.com/teams/1670542079678_vks.png,paiN Gaming,PAIN,http://static.lolesports.com/teams/1674657011011_pain_logo_white.png,99
116833506932324845,2026-09-06T10:00:00Z,LES,결승,5,Movistar KOI Fénix,MKF,http://static.lolesports.com/teams/1704458610869_6596f892741d1355702004.png,Heretics Academy,HRTS,http://static.lolesports.com/teams/1661502137823_LOGOHERETICSPNG.png,99
116996464901636906,2026-09-06T10:00:00Z,Hitpoint Masters,5주 차,3,CITA Kaizen,CKZ,http://static.lolesports.com/teams/1768642464138_ckz.png,BRUTE,BRT,http://static.lolesports.com/teams/1643479836323_HM_BRT_white.png,99
116996464901636958,2026-09-06T12:00:00Z,Hitpoint Masters,5주 차,3,UP2U Meavedron,MVE,http://static.lolesports.com/teams/1704376811202_Meavedronlogo.png,eSuba,ESB,http://static.lolesports.com/teams/1705300013762_HM_ESB_logo.png,99
