,coef_std,coef_rank,perm_importance,perm_rank
GoldDiff,1.2314,1,0.185,1
ExpDiff,0.461,2,0.0315,2
DragonsDiff,0.2674,3,0.0107,3
KillsDiff,-0.1067,5,0.0031,4
FirstBlood,0.035,9,0.0031,4
TowersDestroyedDiff,-0.0643,7,0.0028,6
TotalMinionsKilledDiff,-0.1574,4,0.0027,7
HeraldsDiff,0.0505,8,0.0026,8
AssistsDiff,-0.0785,6,0.0015,9
WardsDestroyedDiff,0.0094,11,0.0014,10
WardsPlacedDiff,-0.0159,10,0.0008,11
AvgLevelDiff,0.0084,12,0.0005,12
TotalJungleMinionsKilledDiff,-0.0003,13,-0.0004,13
