date,run,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,train_acc_mean,train_f1_mean,sec
2026-08-28 14:10,baseline_dummy_most_frequent,0.5009,,0.0,0.0,,0.0,0.06
2026-08-28 14:10,baseline_dummy_stratified,0.4999,,0.5025,0.009,,0.4961,0.06
2026-08-28 14:10,logreg_standardized_39feat,0.7347,,0.7332,0.0152,,0.7365,0.24
2026-08-28 14:30,logreg_clean_dedup,0.7344,0.0124,0.733,,0.7372,,0.24
2026-08-28 14:30,logreg_diff14,0.7369,0.0123,0.7364,,0.7387,,0.15
2026-08-31 17:49,final_logreg_diff13_holdout(src=csv:fallback),0.7367,0.0124,0.7361,0.0145,0.7386,0.7383,0.99
2026-08-31 23:59,expB_logreg_10min_pro(n=10656),0.6974,0.013,,,,,0.39
2026-08-31 23:59,expB_logreg_15min_pro(n=10656),0.746,0.0104,,,,,0.29
2026-09-01 00:15,final_logreg_diff13_holdout(src=csv:fallback),0.7369,0.014,0.7364,0.0133,0.7385,0.738,2.07
2026-09-01 00:23,baseline_dummy_most_frequent,0.5009,0.0002,0.0,0.0,0.5009,0.0,0.22
2026-09-01 00:23,baseline_dummy_stratified,0.4999,0.0092,0.5025,0.009,0.4983,0.4961,0.18
2026-09-01 00:23,logreg_standardized,0.7276,0.0163,0.7276,0.0161,0.7328,0.7326,0.6
2026-09-01 00:23,final_logreg_diff13_holdout(src=csv:fallback),0.7325,0.0075,0.7319,0.0093,0.7326,0.7327,2.14
2026-09-01 00:24,final_logreg_diff13_holdout(src=csv:fallback),0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,2.21
2026-09-01 00:24,final_logreg_diff13_holdout(src=csv:fallback),0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,1.99
2026-09-01 09:29,baseline_dummy_most_frequent,0.5009,0.0002,0.0,0.0,0.5009,0.0,0.07
2026-09-01 09:29,baseline_dummy_stratified,0.4999,0.0092,0.5025,0.009,0.4983,0.4961,0.06
2026-09-01 09:29,logreg_standardized,0.7276,0.0163,0.7276,0.0161,0.7328,0.7326,0.21
2026-09-01 09:29,final_logreg_diff13_holdout(src=csv:fallback),0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,0.76
2026-09-01 09:31,baseline_dummy_most_frequent,0.5009,0.0002,0.0,0.0,0.5009,0.0,0.06
2026-09-01 09:31,baseline_dummy_stratified,0.4999,0.0092,0.5025,0.009,0.4983,0.4961,0.07
2026-09-01 09:31,logreg_standardized,0.7276,0.0163,0.7276,0.0161,0.7328,0.7326,0.2
2026-09-01 09:31,logreg_clean27,0.728,0.0163,0.728,0.0163,0.7327,0.7325,0.22
2026-09-01 09:31,logreg_diff13,0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,0.13
2026-09-01 09:31,final_logreg_diff13_holdout(src=csv:fallback),0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,0.77
2026-09-02 11:31,final_logreg_diff13_holdout(src=csv:fallback),0.7315,0.0153,0.7315,0.0155,0.7337,0.7335,0.92
